X,Y,AdMapKey,CENTER,icon_url
132.276490195749,-2.90767738029421,"2","63976.9370,1178441.3800,0.0000",./0.png
132.348741796825,-2.95223980475517,"3","72015.6500,1173521.7360,0.0000",./0.png
132.286639879113,-2.9225575126331,"4","65107.2650,1176796.9900,0.0000",./0.png
132.310057151843,-2.92060008095586,"5","67710.7800,1177016.2470,0.0000",./0.png
132.431431207055,-2.702975241657,"6","81183.9034,1201095.8785,0.0000",./0.png
132.955413796225,-2.90859445187683,"7","139459.6581,1178399.0642,0.0000",./0.png
132.819247124481,-2.91232461481144,"8","124321.9426,1177978.3914,0.0000",./0.png
132.765232611484,-2.92554111379018,"9","118317.8844,1176513.2053,0.0000",./0.png
132.690578207711,-2.83389995879006,"10","110011.0350,1186640.9074,0.0000",./0.png
132.5846468775,-2.75132869836727,"11","98225.8700,1195762.8714,0.0000",./0.png
132.345341640321,-2.74618660045775,"12","71614.7766,1196308.4503,0.0000",./0.png
132.407309555736,-2.79757819206148,"13","78511.0256,1190631.7374,0.0000",./0.png
132.388196551857,-2.76031424340148,"14","76381.8356,1194750.6383,0.0000",./0.png
132.334462743284,-2.7437618683156,"15","70404.7360,1196575.4245,0.0000",./0.png
132.316434225684,-2.77147236992007,"16","68402.9203,1193508.9682,0.0000",./0.png
132.300143041571,-2.84669965499529,"17","66599.8290,1185187.7470,0.0000",./0.png
132.306521846365,-2.89839722125114,"18","67315.0970,1179471.2470,0.0000",./0.png
132.300843723505,-2.90821605780696,"19","66684.8910,1178384.7120,0.0000",./0.png
132.328519477645,-2.94160247751155,"20","69766.0050,1174695.7630,0.0000",./0.png
132.565085431435,-3.11522448016181,"21","96084.3301,1155521.2725,0.0000",./0.png
132.315536361508,-2.93360142069581,"22","68321.5240,1175579.0750,0.0000",./0.png
132.473275236553,-3.03461281960156,"23","85870.0210,1164426.1520,0.0000",./0.png
132.295387487183,-2.92119254622874,"24","66079.7440,1176948.9890,0.0000",./0.png
132.271181209741,-2.92684554233133,"25","63388.9370,1176320.9020,0.0000",./0.png
132.302786963323,-2.92741396023953,"26","66903.2190,1176261.8400,0.0000",./0.png
132.276490195749,-2.90767738029404,"1","61272.8550,1176764.3051,0.0000",./0.png
132.252154463572,-2.92281508198834,"1","61272.8550,1176764.3051,0.0000",./0.png
132.652540833866,-3.20144531158824,"21","105813.506,1145995.3037,0.0000",./0.png
132.232636162856,-2.91984990609242,"1","59102.219,1177089.804,0.0000",./0.png
